horodatage,id_capteur,temperature_c,humidite_pct,pm25
2024-01-01 00:00:00,CAP-A,-2.54,61.9,6.9
2024-01-01 01:00:00,CAP-A,-1.95,71.7,3.8
2024-01-01 02:00:00,CAP-A,-1.57,67.2,10.0
2024-01-01 03:00:00,CAP-A,-1.63,83.5,25.3
2024-01-01 04:00:00,CAP-A,3.37,74.0,10.3
2024-01-01 05:00:00,CAP-A,3.08,90.8,29.6
2024-01-01 06:00:00,CAP-A,7.86,82.1,12.2
2024-01-01 07:00:00,CAP-A,4.01,77.6,25.7
2024-01-01 08:00:00,CAP-A,4.27,76.3,11.9
2024-01-01 09:00:00,CAP-A,8.02,66.4,27.7
2024-01-01 10:00:00,CAP-A,8.37,81.7,7.9
2024-01-01 11:00:00,CAP-A,5.68,58.8,7.9
2024-01-01 12:00:00,CAP-A,6.13,69.0,4.9
2024-01-01 13:00:00,CAP-A,6.35,89.2,15.6
2024-01-01 14:00:00,CAP-A,7.29,84.8,20.2
2024-01-01 15:00:00,CAP-A,7.88,59.3,4.1
2024-01-01 16:00:00,CAP-A,4.69,73.3,5.3
2024-01-01 17:00:00,CAP-A,6.25,68.0,4.7
2024-01-01 18:00:00,CAP-A,4.21,71.6,20.9
2024-01-01 19:00:00,CAP-A,3.07,84.0,8.8
2024-01-01 20:00:00,CAP-A,2.54,74.2,5.7
2024-01-01 21:00:00,CAP-A,-0.45,80.6,1.0
2024-01-01 22:00:00,CAP-A,0.32,65.0,28.7
2024-01-01 23:00:00,CAP-A,-0.89,100.0,15.0
2024-01-02 00:00:00,CAP-A,0.57,95.3,23.6
2024-01-02 01:00:00,CAP-A,,83.7,26.0
2024-01-02 02:00:00,CAP-A,0.94,92.7,5.8
2024-01-02 03:00:00,CAP-A,1.28,85.2,22.3
2024-01-02 04:00:00,CAP-A,1.79,75.7,9.4
2024-01-02 05:00:00,CAP-A,1.59,84.5,3.4
2024-01-02 06:00:00,CAP-A,3.1,95.3,2.4
2024-01-02 07:00:00,CAP-A,3.52,66.8,20.0
2024-01-02 08:00:00,CAP-A,4.66,87.1,23.5
2024-01-02 09:00:00,CAP-A,4.05,72.3,10.3
2024-01-02 10:00:00,CAP-A,6.84,64.4,21.3
2024-01-02 11:00:00,CAP-A,4.65,100.0,15.5
2024-01-02 12:00:00,CAP-A,8.78,79.7,7.7
2024-01-02 13:00:00,CAP-A,8.44,80.0,2.0
2024-01-02 14:00:00,CAP-A,5.23,72.2,14.6
2024-01-02 15:00:00,CAP-A,9.73,70.9,19.1
2024-01-02 16:00:00,CAP-A,3.6,87.6,2.6
2024-01-02 17:00:00,CAP-A,1.95,75.5,21.4
2024-01-02 18:00:00,CAP-A,2.73,84.7,13.1
2024-01-02 19:00:00,CAP-A,1.74,78.2,17.0
2024-01-02 20:00:00,CAP-A,2.0,75.5,3.4
2024-01-02 21:00:00,CAP-A,0.61,75.6,4.2
2024-01-02 22:00:00,CAP-A,-2.14,74.0,4.0
2024-01-02 23:00:00,CAP-A,-0.24,77.9,2.1
2024-01-03 00:00:00,CAP-A,-0.12,74.4,26.3
2024-01-03 01:00:00,CAP-A,-2.2,90.2,10.9
2024-01-03 02:00:00,CAP-A,-0.82,74.6,17.7
2024-01-03 03:00:00,CAP-A,-0.12,-999.0,11.4
2024-01-03 04:00:00,CAP-A,1.0,73.0,7.1
2024-01-03 05:00:00,CAP-A,1.71,74.3,35.8
2024-01-03 06:00:00,CAP-A,3.24,83.4,12.7
2024-01-03 07:00:00,CAP-A,5.55,59.2,9.1
2024-01-03 08:00:00,CAP-A,5.31,84.9,16.4
2024-01-03 09:00:00,CAP-A,5.04,75.3,10.5
2024-01-03 10:00:00,CAP-A,2.95,77.9,5.7
2024-01-03 11:00:00,CAP-A,8.27,79.4,8.0
2024-01-03 12:00:00,CAP-A,,70.2,5.8
2024-01-03 13:00:00,CAP-A,7.07,80.1,19.8
2024-01-03 14:00:00,CAP-A,7.21,73.6,15.5
2024-01-03 15:00:00,CAP-A,5.59,68.1,24.0
2024-01-03 16:00:00,CAP-A,3.66,72.8,34.1
2024-01-03 17:00:00,CAP-A,3.29,86.1,3.6
2024-01-03 18:00:00,CAP-A,3.11,81.5,4.1
2024-01-03 19:00:00,CAP-A,4.4,84.8,3.7
2024-01-03 20:00:00,CAP-A,-0.46,100.0,23.7
2024-01-03 21:00:00,CAP-A,-0.94,75.6,19.3
2024-01-03 22:00:00,CAP-A,-0.98,66.6,8.2
2024-01-03 22:00:00,CAP-A,-0.98,66.6,8.2
2024-01-03 23:00:00,CAP-A,-1.54,85.1,24.5
2024-01-04 00:00:00,CAP-A,,90.7,14.8
2024-01-04 01:00:00,CAP-A,-1.98,91.7,25.9
2024-01-04 02:00:00,CAP-A,-0.06,75.4,6.1
2024-01-04 03:00:00,CAP-A,-1.63,94.7,27.4
2024-01-04 04:00:00,CAP-A,-0.01,84.3,29.2
2024-01-04 05:00:00,CAP-A,1.58,77.3,33.2
2024-01-04 06:00:00,CAP-A,4.93,-999.0,27.0
2024-01-04 07:00:00,CAP-A,3.13,65.5,19.7
2024-01-04 08:00:00,CAP-A,1.94,85.0,13.8
2024-01-04 09:00:00,CAP-A,6.94,74.4,10.8
2024-01-04 10:00:00,CAP-A,7.26,84.0,4.9
2024-01-04 11:00:00,CAP-A,7.11,68.6,9.0
2024-01-04 12:00:00,CAP-A,6.61,80.3,6.5
2024-01-04 13:00:00,CAP-A,5.84,84.0,9.1
2024-01-04 14:00:00,CAP-A,7.92,64.5,13.0
2024-01-04 15:00:00,CAP-A,6.51,100.0,10.7
2024-01-04 16:00:00,CAP-A,4.26,74.1,5.9
2024-01-04 17:00:00,CAP-A,2.97,57.6,15.0
2024-01-04 18:00:00,CAP-A,3.96,66.1,2.6
2024-01-04 19:00:00,CAP-A,1.31,63.1,6.9
2024-01-04 20:00:00,CAP-A,-0.03,79.2,18.6
2024-01-04 21:00:00,CAP-A,-0.25,74.6,18.5
2024-01-04 22:00:00,CAP-A,-0.57,70.1,10.6
2024-01-04 23:00:00,CAP-A,-1.17,81.3,28.4
2024-01-05 00:00:00,CAP-A,-1.4,79.3,12.2
2024-01-05 01:00:00,CAP-A,-1.93,81.0,14.7
2024-01-05 02:00:00,CAP-A,2.56,84.0,28.0
2024-01-05 03:00:00,CAP-A,0.31,61.8,5.5
2024-01-05 04:00:00,CAP-A,2.37,62.2,6.8
2024-01-05 05:00:00,CAP-A,1.58,71.6,6.7
2024-01-05 06:00:00,CAP-A,2.9,60.7,19.3
2024-01-05 07:00:00,CAP-A,5.31,79.6,26.4
2024-01-05 08:00:00,CAP-A,4.76,83.1,12.2
2024-01-05 09:00:00,CAP-A,5.26,65.2,26.1
2024-01-05 10:00:00,CAP-A,7.02,80.9,6.7
2024-01-05 11:00:00,CAP-A,8.47,63.4,7.0
2024-01-05 12:00:00,CAP-A,6.73,75.8,28.5
2024-01-05 13:00:00,CAP-A,9.14,86.5,24.1
2024-01-05 14:00:00,CAP-A,7.82,77.0,26.5
2024-01-05 15:00:00,CAP-A,5.51,70.7,19.1
2024-01-05 16:00:00,CAP-A,4.4,64.7,12.5
2024-01-05 17:00:00,CAP-A,1.32,80.3,5.4
2024-01-05 18:00:00,CAP-A,3.58,85.1,14.1
2024-01-05 19:00:00,CAP-A,1.54,84.9,25.6
2024-01-05 20:00:00,CAP-A,,70.9,13.8
2024-01-05 21:00:00,CAP-A,0.12,72.7,23.1
2024-01-05 22:00:00,CAP-A,3.05,73.6,11.6
2024-01-05 23:00:00,CAP-A,-3.59,81.7,11.7
2024-01-06 00:00:00,CAP-A,-1.19,79.5,6.6
2024-01-06 01:00:00,CAP-A,-0.65,89.7,16.0
2024-01-06 02:00:00,CAP-A,-3.3,75.2,9.4
2024-01-06 03:00:00,CAP-A,-1.23,86.6,14.4
2024-01-06 04:00:00,CAP-A,1.32,78.6,12.9
2024-01-06 05:00:00,CAP-A,2.77,85.8,41.1
2024-01-06 06:00:00,CAP-A,0.59,69.3,17.9
2024-01-06 07:00:00,CAP-A,3.95,71.8,23.0
2024-01-06 08:00:00,CAP-A,5.03,87.2,73.0
2024-01-06 09:00:00,CAP-A,5.41,60.9,1.4
2024-01-06 10:00:00,CAP-A,8.85,79.2,26.7
2024-01-06 11:00:00,CAP-A,7.05,68.3,27.9
2024-01-06 12:00:00,CAP-A,9.4,76.4,13.9
2024-01-06 13:00:00,CAP-A,5.91,80.8,10.7
2024-01-06 14:00:00,CAP-A,5.12,70.7,4.2
2024-01-06 15:00:00,CAP-A,5.29,76.7,6.5
2024-01-06 16:00:00,CAP-A,6.79,78.2,4.0
2024-01-06 17:00:00,CAP-A,5.99,73.4,15.7
