id_client,date_inscription,segment,ville,age
C00001,2023-03-16,Professionnel,Marseille,42.0
C00002,2020-07-30,Particulier,strasbourg,49.0
C00003,2023-05-29,Particulier,Nantes,
C00004,2022-11-11,Particulier,Lille,32.0
C00005,2019-03-16,Particulier,TOULOUSE,29.0
C00006,2021-07-31,Association,Nantes,43.0
C00007,2022-02-04,Professionnel,Bordeaux,51.0
C00008,2019-03-03,Particulier,bordeaux,38.0
C00009,2024-06-08,Association,lille,
C00010,2020-07-16,Association,Toulouse,35.0
C00011,2021-10-07,Professionnel,Marseille,
C00012,2023-06-17,Particulier,LILLE,36.0
C00013,2023-03-24,Professionnel,Lyon,34.0
C00014,2021-09-29,Association,Strasbourg,49.0
C00015,2019-11-29,Particulier,  Lyon ,39.0
C00016,2020-12-24,Association,BORDEAUX,28.0
C00017,2021-01-02,Association,Paris,36.0
C00018,2024-04-22,Particulier,Toulouse,28.0
C00019,2023-01-13,Particulier,TOULOUSE,
C00020,2021-06-30,Professionnel,  Lyon ,44.0
C00021,2021-12-29,Particulier,Lyon,41.0
C00022,2022-12-09,Professionnel,Lille,61.0
C00023,2019-07-09,Professionnel,LILLE,43.0
C00024,2019-03-25,Particulier,Toulouse,45.0
C00025,2022-09-17,Particulier,Lille,999.0
C00026,2024-01-25,Association,Marseille,49.0
C00027,2020-08-12,Particulier,Bordeaux,27.0
C00028,2023-04-15,Particulier,Lille,78.0
C00029,2021-06-01,Association,Paris,13.0
C00030,2020-06-17,Association,Toulouse,33.0
C00031,2020-07-23,Particulier,Marseille,43.0
C00032,2019-10-08,Particulier,BORDEAUX,34.0
C00033,2019-08-26,Particulier,Bordeaux,
C00034,2023-03-18,Particulier,Strasbourg,25.0
C00035,2020-04-17,Particulier,Paris,68.0
C00036,2023-07-18,Particulier,  Marseille ,53.0
C00037,2022-06-23,Particulier,Toulouse,40.0
C00038,2024-02-16,Particulier,STRASBOURG,25.0
C00039,2024-04-22,Association,Lyon,61.0
C00040,2023-11-17,Particulier,Toulouse,57.0
C00041,2019-02-14,Professionnel,Strasbourg,55.0
C00042,2019-07-08,Professionnel,  Strasbourg ,25.0
C00043,2024-03-10,Particulier,nantes,63.0
C00044,2019-11-03,Professionnel,Strasbourg,26.0
C00045,2020-07-15,Particulier,Lyon,35.0
C00046,2021-09-28,Particulier,LILLE,59.0
C00047,2020-07-12,Particulier,Lyon,14.0
C00048,2021-10-09,Association,Marseille,29.0
C00049,2023-09-25,Professionnel,Nantes,23.0
C00050,2019-09-20,Particulier,Toulouse,34.0
C00051,2024-04-30,Particulier,Paris,47.0
C00052,2024-03-26,Professionnel,Marseille,
C00053,2022-04-08,Professionnel,Marseille,26.0
C00054,2019-10-08,Professionnel,Nantes,65.0
C00055,2019-12-29,Association,Lille,21.0
C00056,2023-04-19,Association,NANTES,31.0
C00057,2020-05-16,Professionnel,paris,38.0
C00058,2022-04-27,Association,Toulouse,34.0
C00059,2019-08-26,Particulier,Toulouse,
C00060,2023-10-01,Particulier,  Strasbourg ,24.0
C00061,2024-06-12,Professionnel,Lille,78.0
C00062,2019-05-14,Particulier,strasbourg,63.0
C00063,2020-09-29,Particulier,bordeaux,51.0
C00064,2019-11-28,Particulier,bordeaux,23.0
C00065,2021-12-16,Particulier,MARSEILLE,44.0
C00066,2019-04-17,Particulier,Toulouse,43.0
C00067,2023-07-15,Particulier,Bordeaux,41.0
C00068,2023-08-30,Professionnel,toulouse,77.0
C00069,2020-04-01,Particulier,Paris,46.0
C00070,2019-04-09,Particulier,Marseille,26.0
C00071,2019-07-06,Association,MARSEILLE,47.0
C00072,2019-07-18,Association,Nantes,26.0
C00073,2020-10-03,Professionnel,Toulouse,41.0
C00074,2023-04-07,Professionnel,Bordeaux,42.0
C00075,2024-04-17,Association,Lyon,37.0
C00076,2022-07-03,Particulier,nantes,18.0
C00077,2019-11-27,Particulier,marseille,21.0
C00078,2021-01-02,Professionnel,Bordeaux,27.0
C00079,2020-04-15,Particulier,Marseille,48.0
C00080,2021-08-19,Professionnel,Toulouse,63.0
C00081,2021-09-05,Professionnel,Marseille,37.0
C00082,2022-06-19,Particulier,Toulouse,25.0
C00083,2022-04-09,Professionnel,Marseille,
C00084,2022-05-13,Professionnel,Strasbourg,50.0
C00085,2021-11-12,Association,paris,25.0
C00086,2023-05-21,Particulier,Lyon,31.0
C00087,2024-02-06,Association,  Bordeaux ,
C00088,2019-07-10,Professionnel,paris,
C00089,2019-01-16,Professionnel,Bordeaux,44.0
C00090,2023-03-08,Association,Nantes,14.0
C00091,2019-10-06,Association,TOULOUSE,20.0
C00092,2019-06-25,Particulier,Nantes,33.0
C00093,2020-02-21,Professionnel,Nantes,44.0
C00094,2023-03-06,Professionnel,Toulouse,39.0
C00095,2020-09-18,Particulier,marseille,53.0
