id_commande,date_commande,id_client,id_produit,id_magasin,quantite,prix_unitaire,remise_pct,canal,statut,ville_livraison
CMD0003112,2024/01/18 19:53,C02300,P0009,M05,3,160.66,5.0,telephone,retourne,Lille
CMD0000107,08/01/2024,C02791,P0028,M03,2,70.48,,boutique,livre,Toulouse
CMD0010050,2023-04-15,990031,P0017,M04,3,691.12,0.0,boutique,livre,MARSEILLE
CMD0001979,06 Nov 2024,C01883,P0010,M04,4,570.25,0.0,WEB,retourne,Marseille
CMD0010513,2024-11-02,C00571,P0024,M02,2,1058.05,10.0,  web ,livre,Marseille
CMD0015463,2023/08/01 12:03,C02330,P0013,M01,2,709.52,0.0,boutique,livre,BORDEAUX
CMD0001458,07/07/2024,C01097,P0022,M03,1,470.65,15.0,boutique,livre,Lyon
CMD0005166,07 Oct 2024,C02672,P0006,M08,1,1224.22,15.0,TELEPHONE,livre,Paris
CMD0009796,2024/05/05 08:50,C01690,P0031,M05,3,856.9,0.0,boutique,livre,  Strasbourg 
CMD0010934,23 Jan 2024,C02794,P0016,M05,2,304.39,0.0,web,livre,Nantes
CMD0010731,13-05-2024,C00904,P0008,M07,2,991.86,5.0,boutique,livre,Toulouse
CMD0015910,2023-04-28,C01762,P0005,M03,1,127.73,0.0,  telephone ,livre,NANTES
CMD0007448,2023-03-09,C01455,P0005,M08,3,125.87,20.0,  boutique ,livre,Marseille
CMD0000105,2023/07/29 19:47,C01517,P0014,M99,2,1053.99,,web,livre,Lyon
CMD0014481,03/08/2024,C00029,P0035,M03,2,582.04,0.0,web,livre,Strasbourg
CMD0006856,2024-08-30,C02516,P0005,M99,2,"129,12 EUR",0.0,telephone,livre,Paris
CMD0007943,11-04-2023,C02242,P0031,M99,2,818.62,10.0,boutique,annule,Marseille
CMD0015548,,C02079,P0014,M08,2,916.2,,BOUTIQUE,retourne,Lille
CMD0000173,24-05-2023,C02747,P0002,M02,2,538.6,15.0,BOUTIQUE,annule,Marseille
CMD0000322,11-06-2023,C02498,P0024,M99,3,1034.76,0.0,  boutique ,livre,Lyon
CMD0013205,15/12/2024,C00426,P0021,M05,5,928.59,,telephone,annule,Strasbourg
CMD0009019,14-06-2024,C01651,P0018,M08,2,92.12,5.0,web,annule,Strasbourg
CMD0016184,25-11-2024,C01307,P0029,M08,3,189.52,5.0,web,livre,  Marseille 
CMD0005691,13 Aug 2023,C01097,P0008,M04,1,906.87,,web,livre,Toulouse
CMD0013559,13 Mar 2024,C00331,P0020,M99,3,815.3,20.0,boutique,livre,bordeaux
CMD0015564,2024-07-24,C01614,P0018,M06,3,92.92,10.0,telephone,retourne,Bordeaux
CMD0012949,26/12/2024,C01382,P0030,M08,2,871.98,15.0,WEB,livre,Marseille
CMD0006246,01/06/2024,C02977,P0026,M03,3,232.92,10.0,web,livre,Strasbourg
CMD0008227,2023-09-13,C01942,P0009,M01,1,162.76,15.0,web,annule,LYON
CMD0006238,23-10-2024,C00439,P0020,M04,1,711.17,20.0,WEB,annule,Toulouse
CMD0003774,2023/06/01 08:10,C02621,P0017,M02,2,722.65,0.0,web,livre,Bordeaux
CMD0005385,15-08-2024,C00279,P0005,M05,2,115.03,,web,annule,Nantes
CMD0011309,11 Jun 2024,C00674,P0007,M07,1,916.94,,WEB,livre,Lille
CMD0002907,2023/03/26 14:01,C01197,P0015,M04,2,489.25,15.0,web,annule,MARSEILLE
CMD0006882,2024-04-04,C01900,P0026,M07,1,228.7,0.0,WEB,livre,Toulouse
CMD0013418,2023-04-08,C00373,P0032,M08,583,1122.55,5.0,telephone,livre,Toulouse
CMD0008977,09 Sep 2024,C00240,P0028,M05,2,67.17,5.0,telephone,annule,Toulouse
CMD0010506,2024/11/27 14:23,C01439,P0011,M03,2,427.11,15.0,boutique,retourne,Nantes
CMD0002223,01 May 2023,C00664,P0022,M06,1,448.84,15.0,boutique,livre,Toulouse
CMD0002268,2024-05-08,990010,P0034,M07,1,437.23,0.0,web,livre,Lille
CMD0005218,2023-05-07,C01370,P0022,M99,1,432.65,,boutique,livre,marseille
CMD0004081,23-10-2023,C01517,P0039,M02,3,280.2,15.0,web,livre,Bordeaux
CMD0001781,2024/02/10 18:57,C00455,P0010,M06,1,550.13,,boutique,annule,Paris
CMD0001065,27 Jul 2024,C02940,P0022,M08,2,461.96,,web,annule,Paris
CMD0016990,07/07/2024,C02184,P0024,M01,3,1142.22,5.0,BOUTIQUE,livre,Paris
CMD0002256,2024/07/07 12:00,C00291,P0035,M08,1,577.25,5.0,telephone,livre,Toulouse
CMD0006153,31-03-2024,C00130,P0019,M01,-3,973.99,15.0,web,livre,lyon
CMD0016132,2023/11/24 19:14,C01205,P0035,M08,3,533.14,10.0,  web ,livre,Paris
CMD0016240,22/11/2023,C01093,P0038,M05,1,607.7,20.0,BOUTIQUE,livre,Lyon
CMD0002919,,C00430,P0021,M03,3,909.73,0.0,web,livre,marseille
